key,"en","de","fr","es"
STR_KILLED_SMILODON,"YOU'VE BEEN KILLED BY A SMILODON!","IHR WURDET VON EINEM SäBELZAHNKATZE GETÖTET!","TU AS ÉTÉ TUÉ PAR UN SMILODON!","¡TE HA MATADO UN SMILODON!"
STR_KILLED_TITANIS,"YOU'VE BEEN KILLED  BY THE TITANIS!","IHR WURDET VON EINEM TITANIS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN TITANIS!","¡TE HA MATADO UN TITANIS!"
STR_KILLED_WATER,"YOU'VE BEEN DROWNED!","IHR SEID ERTRUNKEN!","TU T'ES NOYÉ!","¡TE HAS AHOGADO!"
STR_KILLED_WILD_BOAR,"YOU'VE BEEN KILLED BY A WILD BOAR!","IHR WURDET VON EINEM WILDER EBER GETÖTET!","TU AS ÉTÉ TUÉ PAR UN SANGLIER SAUVAGE!","¡TE HA MATADO UN JABALÍ!"
STR_KILLED_WOLF,"YOU'VE BEEN KILLED BY A WOLF!","IHR WURDET VON EINEM WOLF GETÖTET!","TU AS ÉTÉ TUÉ PAR UN LOUP!","¡TE HA MATADO UN LOBO!"
STR_KILLED_ANDREWSARCHUS,"YOU'VE BEEN KILLED  BY THE ANDREWSARCHUS!","IHR WURDET VON EINEM ADREWSARCHUS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN ANDREWSARCHUS!","¡TE HA MATADO UN ANDREWSARCHUS!"
STR_KILLED_DOEDICURUS,"YOU'VE BEEN KILLED BY A DOEDICURUS!","IHR WURDET VON EINEM DOEDICURUS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN DOEDICURES!","¡TE HA MATADO UN DOEDICURUS!"
STR_LEFTY_MODE,"LEFTY MODE","LINKSHÄNDERMODUS","MODE GAUCHER","MODO PARA ZURDOS"
STR_LEFT_BUTTON,"BUTTON ON THE LEFT SIDE","KNOPF LINKE SEITE","BOUTON À GAUCHE","BOTÓN EN EL LADO IZQUIERDO"
STR_LOADING_AREA,"Loading Area...","Beladung des Geländes...","Surface utile...","Espacio de carga..."
STR_LOW,"LOW","NIEDRIG","BASSE","BAJA"
STR_MAX_DINOS_RESTRICT,"You can't select more than 9 dinosaurs!","Sie können nicht mehr als 9 Dinosaurs wählen.","Vous ne pouvez pas choisir plus de 9 dinosaures","No se puede elegir más de 9 dinosaurios"
STR_MEASUREMENT,"MEASUREMENT","MASSEINHEITEN","UNITÉS","MEDIDAS"
STR_MEDIUM,"MEDIUM","MITTEL","INTERMÉDIAIRE","MEDIA"
STR_METRIC,"METRIC","METRISCH","MÉTRIQUES","MÉTRICA"
STR_MIDDLE_BUTTON,"BUTTON ON THE WEAPON","KNOPF AN DER WAFFE","BOUTON SUR L'ARME","BOTÓN EN EL ARMA"
STR_MORE,"more","MEHR","PLUS","MÁS"
STR_MORE_GAMES,"more games","MEHR SPIELE","PLUS DE JEUX","MÁS JUEGOS"
STR_NEXT,"next","WEITER","SUITE","SIGUIENTE"
STR_NIGHT_FULL,"NIGHT","NACHT","Nuit","Noche"
STR_NIGHT_INFO,"You are hunting at night using night-vision\n system. At night many of small herbivorous\n creatures are sleeping. However,\n carnivores are more agressive at night.","Für die Jagd bei Nacht könnt ihr ein\nNachtsichtgerät benutzen. Viele kleinere\nPflanzenfresser schlafen nachts.\nDie Fleischfresser sind nachts\njedoch aggressiver.","Il est possible de chasser de nuit en utilisant des\nsystèmes de vision nocturne. La nuit, la plupart\ndes herbivores dorment. Mais les carnivores\nsont plus agressifs.","Con un sistema de visión nocturna podrás\n cazar de noche. Muchas criaturas herbívoras\n pequeñas duermen por la noche.\n Sin embargo, ten en cuenta que los\n carnívoros son más agresivos de noche."
STR_NO,"No","Keine","Non","no"
STR_OBSERVER_MODE_FULL,"OBSERVER MODE","BEOBACHTUNGSMODUS","MODE OBSERVATION","MODO OBSERVADOR"
STR_OBSERVER_MODE_INFO,"Use the Observer Mode to familiarize yourself\n with dinosaur behavior and different terrain.\n Please note that no weapons and accesories\n are available in this mode except\n binoculars and area map.","Im Beobachtungsmodus könnt ihr euch mit dem\nVerhalten der Dinosaurier und den\nGeländebedingungen vertraut machen.\nIn diesem Modus stehen euch außer\nFernglas und Karte keinerlei Waffen\nund Zubehör zur Verfügung.","Sers-toi du mode Observation pour te familiariser\navec le comportement des dinosaures et le relief\ndu terrain. Note bien qu'aucune arme ou\naccessoire, en dehors des jumelles\net de la carte, n'est accessible\ndans ce mode.","Utiliza el Modo observador para familiarizarte\ncon el comportamiento de los dinosaurios\ny los diferentes tipos de terreno. Ten en\ncuenta que en este Modo no tendrás\na tu disposición objetos ni armas,\nsolo podrás llevar binoculares y\nun mapa del área."
STR_OFF,"OFF","AUS","NON","APAGADO"
STR_OFFERS,"SPONSORED OFFERS","ANGEBOTE VON SPONSORS","OFFRE SPONSORISÉ","OFERTAS PROMOCIONADAS"
STR_OFFERS_DESCRIPTION,"Looking for FREE stuff?\nTap the buttons on the left to\ninstall other games and get\nFREE Credits or watch ads\nfrom our partners and get\none FREE Resupply or\nFREE Relocation.","Suchen Sie für FREI stuff? Tippen\nSie auf die Tasten auf der linken\nSeite, um andere Spiele zu\ninstallieren und bekommen\nFREI Punkte oder schauen\nAnzeigen von unseren\nPartnern und erhalten ein FREI\nAusrüsten oder FREI Ort\nwechseln","Cherchez des trucs gratuits?\nappuyez sur le bouton à gauche\npour installer autres jeux et\nobtenir Crédit gratuit ou\nregarder la publisité des nos\nassosiés et obtenir un\nRevitaillement gratuit ou\nTransfer gratuit.","Buscas cosas GRATIS? Haz click\nen los botones de la izquierda\npara instalar otros juegos y\nobten creditos GRATUITOS o\nmira los anuncios de nuestros\nsocios y obten una recarga\no teletransportacion\nGRATIS"
STR_OFFLINE,"You are offline","Sie sind offline","Vous êtes déconnecté","Usted no está en línea"
STR_ON,"ON","AN","OUI","ENCENDIDO"
STR_OPTIONS,"options","OPTIONEN","options","OPCIONES"
STR_OUT_OF_AMMO,"Out of ammo!","Keine Munition mehr!","Plus de munitions!","¡Sin munición!"
STR_PATH_TRAVELED,"Path traveled: ","Zurückgelegte Strecke: ","Distance parcourue: ","Camino recorrido: "
STR_PHOTOMODE_CAMERA_ROLL,"CAMERA ROLL","BILDERGALERIE","GALERIE","ROLLO DE CÁMARA"
STR_PHOTOMODE_ZOOM,"Zoom: ","Zoom: ","Zoom: ","Zoom: "
STR_COST,"cost:","Kosten:","Coût:","Costo:"
STR_PROGRESS_SYNCHRONIZED,"Progress is synchronized","Der Fortschritt wird synchronisiert","Progrès est synchronisé","El progreso se sincroniza"
STR_PURCHASES_DISABLED,"In-App purchases are disabled on this device","In-App-Käufe sind auf diesem Gerät deaktiviert","Achats in-app sont désactivés sur cet appareil","Compras in-app están deshabilitados en este dispositivo"
STR_PURCHASES_RESTORED,"Purchases were restored","Käufe wurden restauriert","Les achats ont été restaurés","Se restauraron compras"
STR_QUICK_TAP,"QUICK TAP","KURZES TIPPEN","APPUI RAPIDE","PULSACIÓN RÁPIDA"
STR_RADAR_FULL,"RADAR","RADAR","RADAR","RADAR"
STR_READ_HELP,"read!","LESEN!","À LIRE !","¡LEER!"
STR_RELOCATE,"RELOCATE","UMZUG","TRANSFERT","TRASLADAR"
STR_RELOCATION_1,"Preparing for relocation...","Ortswechsel wird vorbereitet ...","Préparation au transfert...","Preparando para desplazar..."
STR_RESET_TO_DEFAULTS,"[RESET TO DEFAULTS]","[RESET] ","[RÉINITIALISER]","[REAJUSTAR] "
STR_RESTART_NO,"cancel","zurück","annuler","cancelar"
STR_RESTART_YES,"restart","neustart","RÉESSAYER","reiniciar"
STR_RESTART_ORLY,"Do you really want\nto restart the game?\nAll your score and trophies\nwill be lost!","Wollt ihr das Spiel\n wirklich neu starten?\nAlle Punkte und Trophäen\n gehen verloren!","Veux-tu vraiment redémarrer le jeu?\nTous les points et les trophées\nsont perdus!","¿Deseas realmente reiniciar el juego?\n¡Perderás los puntos y trofeos obtenidos\nhasta el momento!"
STR_RESTORE_PURCHASES,"Restore\npurchases","Punkte\nerneuern","Restaurer\nles achats","Restaurar\nlas compras"
STR_SCORE,"Score: ","Punktzahl: ","Score: ","Puntuación: "
STR_SENSITIVITY,"SENSITIVITY","EMPFINDLICHKEIT","SENSIBILITÉ","SENSIBILIDAD"
STR_SHOOTING_SCORE,"Shooting score: ","Abschusspunkte: ","Score de tir: ","Puntuación de disparos: "
STR_SHOTS_MADE,"Shots fired: ","Abgegebene Schüsse: ","Nombre de tirs: ","Disparos realizados: "
STR_SHOTS_SUCCEED,"Shots successful: ","Treffer: ","Nombre de tirs réussis: ","Disparos exitosos: "
STR_SOUND_VOLUME,"SOUND VOLUME","LAUTSTÄRKE","VOLUME DU SON","VOLUMEN DEL SONIDO"
STR_SPECIFY_DESTINATION,"SPECIFY THE TARGET DESTINATION","ZIELORT ANGEBEN","INDIQUE TA DESTINATION","ESPECIFICA EL DESTINO AL QUE QUIERES IR"
STR_SPECIFY_DESTINATION_POSITION,"Please specify the target destination\n on map and tap the 'Relocate' button","Bitte geben Sie den Zielort auf der Karte\n und tippen Sie auf den 'Umzug' Taste","S'il vous plaît spécifier la destination\n cible sur la carte et appuyez sur\n le bouton 'Transfert'","Por favor especificar el destino objetivo\n en el mapa y pulse el botón de 'Trasladar'"
STR_STATISTICS_CONTINUE,"done","fertig","fait","hecho"
STR_STATISTICS_HUNT,"HUNT STATISTICS:","JAGDSTATISTIKEN: ","STATISTIQUES DE CHASSE:","ESTADÍSTICAS DE LA CACERÍA:"
STR_STATISTICS_PLAY_AGAIN,"again","nochmals","encore","otra vez"
STR_STATISTICS_SURVIVE,"SURVIVE STATISTICS:","ÜBERLEBENSSTATISTIKEN: ","STATISTIQUES DE SURVIE:","ESTADÍSTICAS DE SUPERVIVENCIA:"
STR_SURVIVE,"survive","ÜBERLEBEN","SURVIE","SUPERVIVENCIA"
STR_SYNC_MESSAGE,"Do you want to synchronize your progress with iCloud server?","Do you want to synchronize your progress with iCloud server?","Do you want to synchronize your progress with iCloud server?","Do you want to synchronize your progress with iCloud server?"
STR_TIME,"Time: ","Zeit: ","Temps: ","Duración: "
STR_TRANQUILIZER_FULL,"TRANQUILIZER","BETäUBUNGSMITTEL","TRANQUILLISANT","TRANQUILIZANTE"
STR_TROPHY,"trophy","TROPHÄE","TROPHÉE","TROFEO"
STR_TROPHY_LENGTH,"Length: ","Länge: ","Taille: ","Altura: "
STR_TROPHY_NAME,"Name: ","Gattung: ","Nom: ","Nombre: "
STR_TROPHY_RANGE,"Range of kill: ","Tötungsentfernung: ","Portée de tir: ","Distancia al blanco: "
STR_TROPHY_SCORE,"Score: ","Punktzahl: ","Score: ","Puntuación: "
STR_TROPHY_WEAPON,"Weapon: ","Waffe: ","Arme: ","Arma: "
STR_TROPHY_WEIGHT,"Weight: ","Gewicht: ","Poids: ","Peso: "
STR_UPDATE,"Update","Download","Télécharger","Descargar"
STR_UPDATE_TEXT,"A free update for Carnivores\nis available for download.\nGet it now on Google Play\nfor a better game experience.","Ein kostenloses Update für Carnivores\nist zum Download verfügbar.\nJetzt auf Google Play für\neine bessere Spielerfahrung.","Une mise à jour gratuite pour Carnivores\nest disponible en téléchargement.\nObtenez-le maintenant sur Google Play\npour une meilleure expérience de jeu.","Una actualización gratuita para Carnivores\nestá disponible para su descarga.\nConsíguelo ahora en Google Play para\nuna experiencia de juego mejor."
STR_UPDATE_TITLE,"New version available","Neue Version verfügbar","Nouvelle version disponible","Nueva versión disponible"
STR_VISUAL_QUALITY,"GRAPHICS QUALITY","GRAFIKQUALITÄT","QUALITÉ DES GRAPHISMES","CALIDAD DE GRÁFICOS"
STR_WAVE,"Wave: ","Angriffswelle: ","Vague: ","Oleada: "
STR_WEAPON1,"Pistol","Pistole","Pistolet","Pistola"
STR_WEAPON1_INFO,"This weapon has a rapid firing rate, but its\n accuracy declines depending on the range of shot.\n It is very good for close combat. The pistol\n will scare plant eaters, but the noise\n will alert dangerous carnivores.\n\nPower: =^^^ Precision: ={^^\nLoudness: ={^^ Firing Rate: ===^","Diese Waffe hat eine schnelle Feuerrate, ihre\nGenauigkeit nimmt jedoch mit zunehmender\nEntfernung ab. Sie ist ausgezeichnet für\nden Nahkampf. Die Pistole erschreckt\n Pflanzenfresser, der Lärm kann jedoch\ngefährliche Fleischfresser anlocken.\n\nFeuerkraft: =^^^ Genauigkeit: ={^^\nLautstärke: ={^^ Feuerrate: ===^","Cette arme a une cadence de tir élevée,\nmais sa précision décroît avec la distance.\nElle est efficace à courte portée.\nLe bruit du pistolet effraie les herbivores,\nmais il peut aussi attirer des\ncarnivores dangereux.\n\n\nPuissance: =^^^ Précision: ={^^\nBruit: ={^^ Cadence de tir: ===^","Este arma tiene una buena cadencia de disparo,\npero su precisión empeora a mayor distancia al\nobjetivo. Es muy buena para combate cerrado.\nLa pistola ahuyentará a los animales\nherbívoros, pero el ruido alertará a los\ncarnívoros más peligrosos.\n\nPotencia: =^^^ Precisión: ={^^\nRuido: ={^^ Tasa de disparo: ===^"
STR_WEAPON2,"Shotgun","Schrotflinte","Fusil de chasse","Escopeta"
STR_WEAPON2_INFO,"This is a very powerful weapon that uses buck-shot\nbullets as an ammunition. The grouping of shots \ndecreases on farther distances. Shooting\n from this weapon requires less precise\n aiming due to its grouping of shots.\n\nPower: ===^ Precision: {^^^\nLoudness: ===^ Firing Rate: ={^^","Eine sehr mächtige Waffe, die Schrotkugeln\nals Munition verwendet. Die Streuung der\nSchrotkugeln nimmt mit der Entfernung zu.\nDurch die Streuung der Schrotmunition\nerfordert diese Waffe weniger\nZielgenauigkeit.\n\nFeuerkraft: ===^ Genauigkeit: {^^^\nLautstärke: ===^ Feuerrate: ={^^","Une arme très puissante utilisant des cartouches\nde chevrotine. Les chevrotines s'éparpillent assez\nrapidement avec la distance. Viser avec cette\narme demande moins de précision en raison\nde la zone d'éparpillement.\n\n\n\nPuissance: ===^ Précision: {^^^\nBruit: ===^ Cadence de tir: ={^^","Esta es un arma muy poderosa, que usa\nperdigones como munición. El agrupamiento\nde los proyectiles decrece a medida que se\nalejan. Al disparar este arma necesitarás\nmenos puntería, la expansión de los\nperdigones logra cubrir más espacio que\nuna bala.\nPotencia: ===^ Precisión: {^^^\nRuido: ===^ Tasa de disparo: ={^^"
STR_WEAPON3,"DB Shotgun","Dl-Schrotflinte","Fusil à deux canons","Escopeta doble"
STR_WEAPON3_INFO,"This weapon is same as shotgun, but can make\n two shots almost simultaneously. However,\n it makes a lot of noise, so it will scare all\n plant eaters and some small carnivores,\n causing them to run away.\n\nPower: ===^ Precision: {^^^\nLoudness: ==== Firing Rate: ===^","Diese Waffe ähnelt der Schrotflinte, kann jedoch\nzwei Schuss fast gleichzeitig abfeuern. Sie macht\njedoch einen Höllenlärm und erschreckt\nPflanzenfresser und manche kleine\nFleischfresser, so dass diese\ndavonlaufen.\n\nFeuerkraft: ===^ Genauigkeit: {^^^\nLautstärke: ==== Feuerrate: ===^","Identique au fusil de chasse, mais pouvant\ntirer deux fois quasi simultanément.\nC'est une arme très bruyante qui\neffraie les herbivores\net certains petits carnivores,\n les faisant détaler.\n\n\nPuissance: ===^ Précision: {^^^\nBruit: ==== Cadence de tir: ===^","Este arma es similar a la escopeta, salvo que esta\npuede disparar dos disparos casi\nsimultáneamente. Sin embargo, debido\nal ruido que hace, espantará a los\nherbívoros y a algunos pequeños\ncarnívoros, que huirán de inmediato.\n\nPotencia: ===^ Precisión: {^^^\nRuido: ==== Tasa de disparo: ===^"
STR_WEAPON4,"X-Bow","Kreuzbogen","Arbalète","Ballesta"
STR_WEAPON4_INFO,"This weapon has two target areas, called aiming\n pins. The top pin is sighted in for 40 meters,\n and the bottom pin is sighted for 80 meters.\n It is relatively soundless, and can be shot\n several times without alerting dinosaurs.\n\nPower: ===^ Precision: ==^^\nLoudness: =^^^ Firing Rate: ={^^","Diese Waffe hat zwei Zielbereiche, die\nsogenannten Zielkimmen. Die obere Kimme\nist auf 40 Meter eingestellt, und die untere\nKimme auf 80 Meter. Diese Waffe ist fast\ngeräuschlos und kann mehrmals\nabgefeuert werden, ohne Dinosaurier\nzu erschrecken.\nFeuerkraft: ===^ Genauigkeit: ==^^\nLautstärke: =^^^ Feuerrate: ={^^","Cette arme a deux zones de tir, réparties\nsur deux hausses. La hausse supérieure est\nréglée à 40 m et la hausse inférieure\nà 80 m. C'est une arme silencieuse\nqui peut être tirée plusieurs\nfois sans alerter les dinosaures.\n\n\nPuissance: ===^ Précision: ==^^\nBruit: =^^^ Cadence de tir: ={^^","Esta arma tiene dos zonas de diana, llamados\npuntos de mira. El punto superior está enfocado\nen 40 metros y el punto inferior está\nenfocado en 80 metros. Es un arma bastante\nsilenciosa y de esa manera posibilita que\nrealices varios disparos sin llamar\nla atención.\nPotencia: ===^ Precisión: ==^^\nRuido: =^^^ Tasa de disparo: ={^^"
STR_WEAPON5,"Rifle","Gewehr","Carabine","Fusil"
STR_WEAPON5_INFO,"The target area for this weapon is the center of\n the sighting circle. Although powerful, aim\n your shot well. The rifle will scare plant\n eaters, causing them to scatter, but the\n noise will alert dangerous carnivores.\n\nPower: ==^^ Precision: ==={\nLoudness: ===^ Firing Rate: ===^","Der Zielbereich dieser Waffe ist das Zentrum\ndes Sichtkreises. Trotz der Feuerkraft\nsolltet ihr gut zielen. Das Gewehr\nerschreckt Pflanzenfresser und jagt sie\nauseinander. Der Lärm kann jedoch auch\ngefährliche Fleischfresser anlocken.\n\nFeuerkraft: ==^^ Genauigkeit: ==={\nLautstärke: ===^ Feuerrate: ===^","La zone d'impact se trouve au centre du cercle\ndu viseur. Bien que puissante, cette arme\nnécessite de bien viser. Le bruit du\nfusil effraie les herbivores et les force\nà se disperser, mais il peut aussi\nattirer des carnivores.\n\n\nPuissance: ==^^ Précision: ==={\nBruit: ===^ Cadence de tir: ===^","La diana de esta arma es el centro del círculo de\nla mira. Aunque es poderosa, debes apuntar bien.\nEl fusil ahuyentará a los animales herbívoros\ny de esa manera los hará dispersarse,\npero el ruido alertará a los carnívoros\nmás peligrosos.\n\nPotencia: ==^^ Precisión: ==={\nRuido: ===^ Tasa de disparo: ===^"
STR_WEAPON6,"Sniper rifle","Scharfschutzengewehr","Fusil de sniper","Fusil de francotirador"
STR_WEAPON6_INFO,"This weapon is very accurate, and will shoot\n exactly where the crosshairs are placed. Its range\n goes as far as the binoculars, but is narrow.\n This is not a weapon for a charging meat\neater, but fantastic for distance shots.\n\nPower: ==^^ Precision: ====\nLoudness: ===^ Firing Rate: ==^^","Diese Waffe ist extrem zielgenau und schießt\ngenau auf die Stelle, an der sich das Fadenkreuz\nbefindet. Die Reichweite entspricht der des\nFernglases, der Zielbereich ist jedoch sehr\nschmal. Dies ist keine Waffe für einen\nanstürmenden Fleischfresser, sie eignet\nsich jedoch ausgezeichnet für Schüße\nauf große Entfernungen.\nFeuerkraft: ==^^ Genauigkeit: ====\nLautstärke: ===^ Feuerrate: ==^^","Cette arme est très précise et tire exactement\nlà où se trouve la visée. Sa portée\nest équivalente à celle des jumelles,\nmais elle limite la vision périphérique.\nCe n'est pas une arme à employer contre\ndes carnivores qui t'attaquent, mais elle\nfait merveille à longue distance.\n\nPuissance: ==^^ Précision: ====\nBruit: ===^ Cadence de tir: ==^^","Esta arma es muy precisa y hará blanco\n exactanmente donde esté posada la retícula\n de la mira. Su mira telescópica tiene\n un alcance similar al de unos\n binoculares pero estrechará\n mucho tu campo de visión.\n\nPotencia: ==^^ Precisión: ====\nRuido: ===^ Tasa de disparo: ==^^"
STR_YES,"Yes","Ja","Oui","sí"
STR_YOUR_ACCOUNT,"Your Account:","Euer Konto:","Ton compte:","Tu cuenta:"
STR_CLOUD_DIALOG_MESSAGE_LOAD,"Loading score from the Cloud...","Punktzahl wird aus der Cloud abgerufen ...","Chargement du score depuis le cloud...","Cargando puntuación desde la nube..."
STR_CLOUD_DIALOG_MESSAGE_SAVE,"Saving score to the Cloud...","Punktzahl wird in der Cloud gespeichert ...","Enregistrement du score vers le cloud...","Guardando puntuación en la nube..."
STR_CLOUD_PROGRESS_UNSAVED_INTERNET,"Check your Internet connection.\nYour progress won't be stored.","Überprüfe deine Internetverbindung.\nDein Fortschritt wird nicht gespeichert.","Vérifiez votre connexion Internet.\nVotre progression ne sera pas sauvegardée.","Comprueba tu conexión a Internet.\nTus progresos no se guardarán."
STR_CLOUD_PROGRESS_UNSAVED_LOGIN,"Your progress won't be stored.\nPlease sign in.","Dein Fortschritt wird nicht gespeichert.\nBitte melde dich an.","Votre progression ne sera pas sauvegardée.\nVeuillez vous connecter.","Tus progresos no se guardarán.\nInicia sesión."
STR_GOOGLE_GAMES_SIGN_IN,"[CLOUD SIGN IN]","[CLOUD-ANMELDUNG]","[CONNEXION AU CLOUD]","[INICIAR SESIÓN EN LA NUBE]"
STR_GOOGLE_GAMES_SIGN_OUT,"[CLOUD SIGN OUT]","[CLOUD-ABMELDUNG]","[DÉCONNEXION AU CLOUD]","[CERRAR SESIÓN EN LA NUBE]"
STR_REVIVE_BUTTON_TEXT,"get revive","Wiederbeleben","Ranimation","consigue Revivir"
STR_REVIVE_DESCRIPTION,"#1Revive now to continue your hunting \nsession and save your trophies!","#1Belebe dich jetzt wieder, um die Jagd\nfortzusetzen und deine Trophäen zu speichern!","#1Revenez à la vie pour continuer votre\nchasse et sauvegarder vos trophées !","¡#1Revive ahora para seguir con tu sesión de\ncaza y guardar tus trofeos!"
STR_REVIVE_NO_ADS,"#1No ads available, try again later.","#1Keine Werbung verfügbar, versuche es später noch einmal.","#1Aucune annonce disponible, réessayez plus tard.","#1No hay anuncios disponibles. Inténtalo de nuevo más tarde."
STR_REVIVE_OFFLINE,"#1Revive option requires an Internet connection.","#1Für eine Wiederbelebung ist eine\n Internetverbindung erforderlich.","#1L’option de ranimation\n nécessite une connexion Internet.","#1La opción Revivir requiere una\n conexión a Internet."
STR_REVIVE_PENALTY_TEXT,"#1Additional %d credits will be charged \nfrom current trophies rewards.","#1Es werden %d zusätzliche Credits\nvon den aktuellen Trophäen-Belohnungen abgezogen.","#1%d crédits seront ajoutés pour\nvos récompenses de trophées actuels.","#1Se cargarán %d créditos adicionales\npor las recompensas de los trofeos actuales."
STR_REVIVE_POPUP_TITLE,"INSTANT REVIVE!","SOFORTIGE WIEDERBELEBUNG!","RANIMATION INSTANTANÉE !","¡REVIVE AL INSTANTE!"
STR_ACHIEVEMENT_UNLOCKED,"Achievement unlocked","Auszeichnung freigeschaltet","Réalisation déverrouillée","Logro desbloqueado"
STR_FREE,"FREE!","KOSTENLOS!","GRATUIT !","¡GRATIS!"
STR_GET_FREE_CONTENT_TITLE,"Get %s for free!","Erhalte %s kostenlos!","Obtenez %s gratuitement !","¡Consigue %s gratis!"
STR_GET_FREE_CONTENT_DESCRIPTION,"%s for one hunt session \nfor watching video AD!","%s für eine Jagdsaison,\nwenn du dir ein Video ansiehst!","%s pour une chasse\nsi vous regardez l'annonce vidéo !","¡%s por una sesión de caza\npor ver un videoanuncio!"
STR_GET_FREE_CONTENT_GET,"GET","MEHR","OBTENIR","CONSEGUIR"
STR_GET_RELOCATE_AVAILABLE_TIME,"Relocate available\nafter %d sec.","Umsiedlung verfügbar\nnach %d Sek.","Déplacement disponible\naprès %d secondes.","Reubicación disponible\ntras %d segundos."
STR_SHOULD_PICK_UP_RESUPPLY,"Please pick up resupply package!","Bitte nimm dir dein Nachschubpaket!","Veuillez récupérer le colis de ravitaillement !","¡Recoge un paquete de suministros!"
STR_RESUPPLY_ON_THE_WAY,"Spaceship with resupply package on the way!","Raumschiff mit Nachschubpaket ist unterwegs!","Vaisseau spatial avec colis de ravitaillement en route !","¡Nave con paquete de suministros en camino!"
STR_NO_RESUPPLY_IN_WATER,"It's impossible to get resupplied in the water","Du kannst im Wasser kein Nachschub erhalten.","C’est impossible de se faire ravitailler dans l’eau","Es imposible reabastecerse en el agua."
STR_MOSCHOPS,"Moschops","Moschops","Moschops","Moschops"
STR_GALLIMIMUS,"Gallimimus","Gallimimus","Gallimimus","Gallimimus"
STR_DIMORPHODON,"Dimorphodon","Dimorphodon","Dimorphodon","Dimorphodon"
STR_PTERANODON,"Pteranodon","Pteranodon","Pteranodon","Pteranodon"
STR_DIMETRODON,"Dimetrodon","Dimetrodon","Dimetrodon","Dimetrodon"
STR_BRACHIOSAURUS,"Brachiosaurus","Brachiosaurus","Brachiosaurus","Brachiosaurus"
STR_PRO_BUNDLE,"PRO HUNTING BUNDLE","PROFIJÄGER-PAKET","PACK DE CHASSE PRO","LOTE DE CAZA PROFESIONAL"
STR_PRO_BUNDLE_DESCRIPTION,"Upgrade now and gain FULL access to an amazing hunting world.\nUnlock territory, powerful weapons and incredible wild animals to\ntrack and hunt.","Upgrade jetzt und erhalte VOLLEN Zugang zu einer fantastischen Welt des Jagens.\nSchalte Territorien, mächtige Waffen und unglaubliche\nwilde Tiere zum Aufspüren und Jagen frei.","Mettez le jeu à niveau et obtenez l’accès COMPLET à un monde de chasse formidable.\nDéverrouillez des territoires, des armes puissantes et d’incroyables\nanimaux sauvages à chasser.","Actualiza ahora y obtén acceso total a un increíble mundo de caza.\nDesbloquea territorios, armas potentes y animales salvajes fascinantes para\nperseguirlos y cazarlos."
STR_FREE_FROM_ADS,"AD FREE!","OHNE WERBUNG!","ANNONCE GRATUITE !","¡ANUNCIO GRATIS!"
STR_UPGRADE_NOW,"Upgrade Now!","Jetzt upgraden!","Mettre à niveau !","¡Actualiza ya!"
STR_PUBLISH_TROPHY," shot a %.02f tons %s with a %s in the %s%s"," hat einen %.02f-Tonnen %s mit %s in %s%s geschossen"," a tiré sur un %s de %.02f tonnes avec un(e) %s dans %s%s"," disparó a un %s de %.02f toneladas con un arma de tipo %s en %s para %s"
STR_PUBLISH_STATISTICS," set the score of %d playing Survive mode in the %s%s"," hat im Überlebensmodus %d Punkte in %s%s erzielt"," établit le score de %d dans le mode Survie de %s%s"," consiguió una puntuación de %d jugando al modo Supervivencia de %s para %s"
STR_PHOTO_CAMERA,"Photo camera","Fotokamera","Appareil photo","Cámara de fotos"
STR_REVOLVER,"Revolver","Revolver","Revolver","Revólver"
STR_REVOLVER_INFO,"This weapon is extremely powerful, but be careful\n while using a revolver since it doesn’t have many\n shots, its strong recoil can affect accuracy,\n and the loud noise can scare your prey\n away drawing unwanted attention.\n\nPower: ==={ Precision: ==^^\nLoudness: ==== Firing Rate: =={^","Diese Waffe ist extrem stark, doch achte\nbeim Revolver auf die begrenzte Munition,\nden starken Rückstoß und den Lärm,\n der deine Beute verscheuchen und\n ungewollte Aufmerksamkeit\n auf dich ziehen kann.\n\nFeuerkraft: ==={ Genauigkeit: ==^^\nLautstärke: ==== Feuerrate: =={^","Cette arme est extrêmement puissante, mais\n faites attention, car elle n'a pas beaucoup\n de coups, son recul est fort et peut affecter\n la précision, et son bruit peut faire\n fuir votre proie et attirer une\n attention non désirée.\n\n\nPuissance: ==== Précision: ==^^\nBruit: ==== Cadence de tir: =={^","Esta arma es increíblemente potente,\n pero ten cuidado al usarla, ya que no tiene\n muchos disparos, su fuerte\n retroceso puede afectar a la precisión\ny el ruido puede asustar a tu presa\nal llamar su atención sin querer.\n\nPotencia: ==={ Precisión: ==^^\nRuido: ==== Tasa de disparo: =={^"
STR_SHOP_CREDITS,"CREDITS","CREDITS","CRÉDITS ","CRÉDITOS"
STR_SHOP_CREDITS_DESCRIPTION_1,"%d $ \nby watching video","%d $ \n fürs Ansehen eines Videos","%d $ \nen regardant la vidéo","%d $ \npor vídeo visto"
